motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:06:28.683987 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:06:28.715770 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:06:28.821445 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:06:28.926758 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:06:28.992012 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:06:29.023905 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:06:29.129316 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:06:29.427502 | Relative x,y | (001,000) | Absolute x,y | (001,000) | Distance : 1.00
12:06:29.438113 | Relative x,y | (001,000) | Absolute x,y | (002,000) | Distance : 2.00
12:06:29.448681 | Relative x,y | (003,000) | Absolute x,y | (005,000) | Distance : 5.00
12:06:29.459315 | Relative x,y | (002,000) | Absolute x,y | (007,000) | Distance : 7.00
12:06:29.470013 | Relative x,y | (003,000) | Absolute x,y | (010,000) | Distance : 10.00
12:06:29.480723 | Relative x,y | (003,000) | Absolute x,y | (013,000) | Distance : 13.00
12:06:29.491370 | Relative x,y | (006,000) | Absolute x,y | (019,000) | Distance : 19.00
12:06:29.501996 | Relative x,y | (004,000) | Absolute x,y | (023,000) | Distance : 23.00
12:06:29.512661 | Relative x,y | (003,000) | Absolute x,y | (026,000) | Distance : 26.00
12:06:29.523428 | Relative x,y | (008,001) | Absolute x,y | (034,001) | Distance : 33.99
12:06:29.534128 | Relative x,y | (004,001) | Absolute x,y | (038,002) | Distance : 37.95
12:06:29.544783 | Relative x,y | (004,000) | Absolute x,y | (042,002) | Distance : 41.95
12:06:29.555466 | Relative x,y | (009,001) | Absolute x,y | (051,003) | Distance : 50.91
12:06:29.566165 | Relative x,y | (006,000) | Absolute x,y | (057,003) | Distance : 56.92
12:06:29.576875 | Relative x,y | (005,000) | Absolute x,y | (062,003) | Distance : 61.93
12:06:29.587554 | Relative x,y | (011,000) | Absolute x,y | (073,003) | Distance : 72.94
12:06:29.598253 | Relative x,y | (006,000) | Absolute x,y | (079,003) | Distance : 78.94
12:06:29.608956 | Relative x,y | (006,000) | Absolute x,y | (085,003) | Distance : 84.95
12:06:29.619650 | Relative x,y | (013,001) | Absolute x,y | (098,004) | Distance : 97.92
12:06:29.630414 | Relative x,y | (006,000) | Absolute x,y | (104,004) | Distance : 103.92
12:06:29.641120 | Relative x,y | (007,001) | Absolute x,y | (111,005) | Distance : 110.89
12:06:29.651786 | Relative x,y | (013,001) | Absolute x,y | (124,006) | Distance : 123.85
12:06:29.664024 | Relative x,y | (007,001) | Absolute x,y | (131,007) | Distance : 130.81
12:06:29.674732 | Relative x,y | (008,000) | Absolute x,y | (139,007) | Distance : 138.82
12:06:29.686298 | Relative x,y | (015,000) | Absolute x,y | (154,007) | Distance : 153.84
12:06:29.696992 | Relative x,y | (008,000) | Absolute x,y | (162,007) | Distance : 161.85
12:06:29.707623 | Relative x,y | (007,000) | Absolute x,y | (169,007) | Distance : 168.85
12:06:29.718308 | Relative x,y | (016,000) | Absolute x,y | (185,007) | Distance : 184.87
12:06:29.729002 | Relative x,y | (007,001) | Absolute x,y | (192,008) | Distance : 191.83
12:06:29.739688 | Relative x,y | (008,000) | Absolute x,y | (200,008) | Distance : 199.84
12:06:29.750420 | Relative x,y | (015,000) | Absolute x,y | (215,008) | Distance : 214.85
12:06:29.761130 | Relative x,y | (008,000) | Absolute x,y | (223,008) | Distance : 222.86
12:06:29.771817 | Relative x,y | (008,000) | Absolute x,y | (231,008) | Distance : 230.86
12:06:29.782516 | Relative x,y | (014,000) | Absolute x,y | (245,008) | Distance : 244.87
12:06:29.793206 | Relative x,y | (008,000) | Absolute x,y | (253,008) | Distance : 252.87
12:06:29.803883 | Relative x,y | (008,000) | Absolute x,y | (261,008) | Distance : 260.88
12:06:29.814588 | Relative x,y | (015,000) | Absolute x,y | (276,008) | Distance : 275.88
12:06:29.825273 | Relative x,y | (009,000) | Absolute x,y | (285,008) | Distance : 284.89
12:06:29.835956 | Relative x,y | (007,000) | Absolute x,y | (292,008) | Distance : 291.89
12:06:29.846663 | Relative x,y | (016,000) | Absolute x,y | (308,008) | Distance : 307.90
12:06:29.857393 | Relative x,y | (008,000) | Absolute x,y | (316,008) | Distance : 315.90
12:06:29.868044 | Relative x,y | (008,001) | Absolute x,y | (324,009) | Distance : 323.87
12:06:29.878678 | Relative x,y | (007,001) | Absolute x,y | (331,010) | Distance : 330.85
12:06:29.889332 | Relative x,y | (016,000) | Absolute x,y | (347,010) | Distance : 346.86
12:06:29.901723 | Relative x,y | (008,000) | Absolute x,y | (355,010) | Distance : 354.86
12:06:29.912394 | Relative x,y | (016,000) | Absolute x,y | (371,010) | Distance : 370.87
12:06:29.923011 | Relative x,y | (007,000) | Absolute x,y | (378,010) | Distance : 377.87
12:06:29.933630 | Relative x,y | (008,000) | Absolute x,y | (386,010) | Distance : 385.87
12:06:29.944298 | Relative x,y | (015,001) | Absolute x,y | (401,011) | Distance : 400.85
12:06:29.954986 | Relative x,y | (007,001) | Absolute x,y | (408,012) | Distance : 407.82
12:06:29.965697 | Relative x,y | (008,000) | Absolute x,y | (416,012) | Distance : 415.83
12:06:29.976392 | Relative x,y | (016,001) | Absolute x,y | (432,013) | Distance : 431.80
12:06:29.987046 | Relative x,y | (008,000) | Absolute x,y | (440,013) | Distance : 439.81
12:06:29.997733 | Relative x,y | (008,001) | Absolute x,y | (448,014) | Distance : 447.78
12:06:30.008435 | Relative x,y | (015,001) | Absolute x,y | (463,015) | Distance : 462.76
