motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:44:48.217035 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:44:48.492894 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:44:48.598567 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:44:48.630411 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:44:48.768815 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:44:48.979871 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:44:48.990558 | Relative x,y | (000,-02) | Absolute x,y | (000,-02) | Distance : 2.00
12:44:49.001279 | Relative x,y | (000,-02) | Absolute x,y | (000,-04) | Distance : 4.00
12:44:49.011978 | Relative x,y | (000,-01) | Absolute x,y | (000,-05) | Distance : 5.00
12:44:49.022690 | Relative x,y | (000,-03) | Absolute x,y | (000,-08) | Distance : 8.00
12:44:49.034777 | Relative x,y | (000,-02) | Absolute x,y | (000,-10) | Distance : 10.00
12:44:49.045452 | Relative x,y | (000,-01) | Absolute x,y | (000,-11) | Distance : 11.00
12:44:49.056177 | Relative x,y | (000,-05) | Absolute x,y | (000,-16) | Distance : 16.00
12:44:49.066907 | Relative x,y | (000,-02) | Absolute x,y | (000,-18) | Distance : 18.00
12:44:49.077628 | Relative x,y | (000,-02) | Absolute x,y | (000,-20) | Distance : 20.00
12:44:49.088363 | Relative x,y | (000,-05) | Absolute x,y | (000,-25) | Distance : 25.00
12:44:49.099080 | Relative x,y | (000,-03) | Absolute x,y | (000,-28) | Distance : 28.00
12:44:49.109787 | Relative x,y | (000,-03) | Absolute x,y | (000,-31) | Distance : 31.00
12:44:49.120542 | Relative x,y | (000,-05) | Absolute x,y | (000,-36) | Distance : 36.00
12:44:49.131258 | Relative x,y | (000,-04) | Absolute x,y | (000,-40) | Distance : 40.00
12:44:49.141984 | Relative x,y | (000,-03) | Absolute x,y | (000,-43) | Distance : 43.00
12:44:49.152706 | Relative x,y | (000,-03) | Absolute x,y | (000,-46) | Distance : 46.00
12:44:49.163426 | Relative x,y | (000,-06) | Absolute x,y | (000,-52) | Distance : 52.00
12:44:49.174053 | Relative x,y | (000,-03) | Absolute x,y | (000,-55) | Distance : 55.00
12:44:49.184701 | Relative x,y | (000,-03) | Absolute x,y | (000,-58) | Distance : 58.00
12:44:49.195393 | Relative x,y | (000,-07) | Absolute x,y | (000,-65) | Distance : 65.00
12:44:49.206125 | Relative x,y | (000,-03) | Absolute x,y | (000,-68) | Distance : 68.00
12:44:49.216767 | Relative x,y | (000,-04) | Absolute x,y | (000,-72) | Distance : 72.00
12:44:49.227504 | Relative x,y | (000,-07) | Absolute x,y | (000,-79) | Distance : 79.00
12:44:49.238137 | Relative x,y | (000,-04) | Absolute x,y | (000,-83) | Distance : 83.00
12:44:49.248773 | Relative x,y | (000,-03) | Absolute x,y | (000,-86) | Distance : 86.00
12:44:49.259416 | Relative x,y | (000,-08) | Absolute x,y | (000,-94) | Distance : 94.00
12:44:49.270128 | Relative x,y | (000,-04) | Absolute x,y | (000,-98) | Distance : 98.00
12:44:49.280878 | Relative x,y | (000,-04) | Absolute x,y | (000,-102) | Distance : 102.00
12:44:49.291520 | Relative x,y | (000,-08) | Absolute x,y | (000,-110) | Distance : 110.00
12:44:49.302118 | Relative x,y | (000,-04) | Absolute x,y | (000,-114) | Distance : 114.00
12:44:49.312752 | Relative x,y | (000,-05) | Absolute x,y | (000,-119) | Distance : 119.00
12:44:49.323438 | Relative x,y | (000,-08) | Absolute x,y | (000,-127) | Distance : 127.00
12:44:49.334208 | Relative x,y | (000,-04) | Absolute x,y | (000,-131) | Distance : 131.00
12:44:49.344948 | Relative x,y | (000,-04) | Absolute x,y | (000,-135) | Distance : 135.00
12:44:49.355652 | Relative x,y | (000,-08) | Absolute x,y | (000,-143) | Distance : 143.00
12:44:49.366264 | Relative x,y | (-01,-05) | Absolute x,y | (-01,-148) | Distance : 148.00
12:44:49.376826 | Relative x,y | (000,-04) | Absolute x,y | (-01,-152) | Distance : 152.00
12:44:49.387440 | Relative x,y | (000,-04) | Absolute x,y | (-01,-156) | Distance : 156.00
12:44:49.398135 | Relative x,y | (000,-09) | Absolute x,y | (-01,-165) | Distance : 165.00
