motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:09:03.648609 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:09:03.818806 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:09:03.977124 | Relative x,y | (001,000) | Absolute x,y | (001,000) | Distance : 1.00
12:09:03.987812 | Relative x,y | (001,000) | Absolute x,y | (002,000) | Distance : 2.00
12:09:03.998544 | Relative x,y | (001,000) | Absolute x,y | (003,000) | Distance : 3.00
12:09:04.009300 | Relative x,y | (003,000) | Absolute x,y | (006,000) | Distance : 6.00
12:09:04.019996 | Relative x,y | (002,000) | Absolute x,y | (008,000) | Distance : 8.00
12:09:04.030714 | Relative x,y | (002,000) | Absolute x,y | (010,000) | Distance : 10.00
12:09:04.041500 | Relative x,y | (006,000) | Absolute x,y | (016,000) | Distance : 16.00
12:09:04.052163 | Relative x,y | (003,000) | Absolute x,y | (019,000) | Distance : 19.00
12:09:04.062841 | Relative x,y | (003,000) | Absolute x,y | (022,000) | Distance : 22.00
12:09:04.073552 | Relative x,y | (006,000) | Absolute x,y | (028,000) | Distance : 28.00
12:09:04.084260 | Relative x,y | (004,000) | Absolute x,y | (032,000) | Distance : 32.00
12:09:04.094962 | Relative x,y | (004,000) | Absolute x,y | (036,000) | Distance : 36.00
12:09:04.105670 | Relative x,y | (007,-01) | Absolute x,y | (043,-01) | Distance : 42.99
12:09:04.116382 | Relative x,y | (005,000) | Absolute x,y | (048,-01) | Distance : 47.99
12:09:04.127100 | Relative x,y | (004,000) | Absolute x,y | (052,-01) | Distance : 51.99
12:09:04.137807 | Relative x,y | (010,000) | Absolute x,y | (062,-01) | Distance : 61.99
12:09:04.150094 | Relative x,y | (005,000) | Absolute x,y | (067,-01) | Distance : 66.99
12:09:04.160880 | Relative x,y | (005,-01) | Absolute x,y | (072,-02) | Distance : 71.97
12:09:04.171648 | Relative x,y | (012,000) | Absolute x,y | (084,-02) | Distance : 83.98
12:09:04.182337 | Relative x,y | (005,000) | Absolute x,y | (089,-02) | Distance : 88.98
12:09:04.193102 | Relative x,y | (005,000) | Absolute x,y | (094,-02) | Distance : 93.98
12:09:04.203815 | Relative x,y | (011,000) | Absolute x,y | (105,-02) | Distance : 104.98
12:09:04.214462 | Relative x,y | (006,001) | Absolute x,y | (111,-01) | Distance : 111.00
12:09:04.225042 | Relative x,y | (005,000) | Absolute x,y | (116,-01) | Distance : 116.00
12:09:04.235636 | Relative x,y | (011,001) | Absolute x,y | (127,000) | Distance : 127.00
12:09:04.246370 | Relative x,y | (006,000) | Absolute x,y | (133,000) | Distance : 133.00
12:09:04.257072 | Relative x,y | (006,000) | Absolute x,y | (139,000) | Distance : 139.00
12:09:04.267773 | Relative x,y | (014,000) | Absolute x,y | (153,000) | Distance : 153.00
12:09:04.278527 | Relative x,y | (007,000) | Absolute x,y | (160,000) | Distance : 160.00
12:09:04.289255 | Relative x,y | (007,000) | Absolute x,y | (167,000) | Distance : 167.00
12:09:04.299876 | Relative x,y | (013,000) | Absolute x,y | (180,000) | Distance : 180.00
12:09:04.310555 | Relative x,y | (008,000) | Absolute x,y | (188,000) | Distance : 188.00
12:09:04.321228 | Relative x,y | (007,000) | Absolute x,y | (195,000) | Distance : 195.00
12:09:04.331932 | Relative x,y | (007,000) | Absolute x,y | (202,000) | Distance : 202.00
12:09:04.342619 | Relative x,y | (016,001) | Absolute x,y | (218,001) | Distance : 218.00
12:09:04.353355 | Relative x,y | (008,000) | Absolute x,y | (226,001) | Distance : 226.00
12:09:04.364082 | Relative x,y | (007,000) | Absolute x,y | (233,001) | Distance : 233.00
12:09:04.374806 | Relative x,y | (016,000) | Absolute x,y | (249,001) | Distance : 249.00
12:09:04.385493 | Relative x,y | (007,001) | Absolute x,y | (256,002) | Distance : 255.99
12:09:04.396177 | Relative x,y | (008,001) | Absolute x,y | (264,003) | Distance : 263.98
12:09:04.406859 | Relative x,y | (015,002) | Absolute x,y | (279,005) | Distance : 278.96
12:09:04.417558 | Relative x,y | (008,001) | Absolute x,y | (287,006) | Distance : 286.94
12:09:04.428329 | Relative x,y | (008,001) | Absolute x,y | (295,007) | Distance : 294.92
12:09:04.440637 | Relative x,y | (015,000) | Absolute x,y | (310,007) | Distance : 309.92
12:09:04.451283 | Relative x,y | (008,000) | Absolute x,y | (318,007) | Distance : 317.92
12:09:04.461992 | Relative x,y | (008,000) | Absolute x,y | (326,007) | Distance : 325.92
12:09:04.472707 | Relative x,y | (014,001) | Absolute x,y | (340,008) | Distance : 339.91
12:09:04.483313 | Relative x,y | (009,000) | Absolute x,y | (349,008) | Distance : 348.91
12:09:04.493858 | Relative x,y | (007,000) | Absolute x,y | (356,008) | Distance : 355.91
12:09:04.504408 | Relative x,y | (017,000) | Absolute x,y | (373,008) | Distance : 372.91
12:09:04.514979 | Relative x,y | (008,000) | Absolute x,y | (381,008) | Distance : 380.92
12:09:04.525652 | Relative x,y | (007,000) | Absolute x,y | (388,008) | Distance : 387.92
12:09:04.536362 | Relative x,y | (016,001) | Absolute x,y | (404,009) | Distance : 403.90
12:09:04.547062 | Relative x,y | (007,001) | Absolute x,y | (411,010) | Distance : 410.88
12:09:04.557682 | Relative x,y | (008,000) | Absolute x,y | (419,010) | Distance : 418.88
12:09:04.568344 | Relative x,y | (016,000) | Absolute x,y | (435,010) | Distance : 434.89
12:09:04.579046 | Relative x,y | (007,000) | Absolute x,y | (442,010) | Distance : 441.89
12:09:04.589688 | Relative x,y | (000,000) | Absolute x,y | (442,010) | Distance : 441.89
12:09:04.600297 | Relative x,y | (015,-01) | Absolute x,y | (457,009) | Distance : 456.91
12:09:04.610905 | Relative x,y | (008,000) | Absolute x,y | (465,009) | Distance : 464.91
12:09:04.621550 | Relative x,y | (007,000) | Absolute x,y | (472,009) | Distance : 471.91
12:09:04.632266 | Relative x,y | (008,000) | Absolute x,y | (480,009) | Distance : 479.92
12:09:04.642965 | Relative x,y | (015,000) | Absolute x,y | (495,009) | Distance : 494.92
12:09:04.653647 | Relative x,y | (007,000) | Absolute x,y | (502,009) | Distance : 501.92
12:09:04.665793 | Relative x,y | (007,000) | Absolute x,y | (509,009) | Distance : 508.92
12:09:04.676590 | Relative x,y | (015,001) | Absolute x,y | (524,010) | Distance : 523.90
12:09:04.687207 | Relative x,y | (008,000) | Absolute x,y | (532,010) | Distance : 531.91
12:09:04.697868 | Relative x,y | (016,001) | Absolute x,y | (548,011) | Distance : 547.89
12:09:04.708591 | Relative x,y | (007,000) | Absolute x,y | (555,011) | Distance : 554.89
12:09:04.719340 | Relative x,y | (012,000) | Absolute x,y | (567,011) | Distance : 566.89
12:09:04.730058 | Relative x,y | (015,002) | Absolute x,y | (582,013) | Distance : 581.85
12:09:04.740789 | Relative x,y | (007,000) | Absolute x,y | (589,013) | Distance : 588.86
12:09:04.751488 | Relative x,y | (008,000) | Absolute x,y | (597,013) | Distance : 596.86
12:09:04.762291 | Relative x,y | (008,001) | Absolute x,y | (605,014) | Distance : 604.84
12:09:04.773021 | Relative x,y | (015,000) | Absolute x,y | (620,014) | Distance : 619.84
12:09:04.783727 | Relative x,y | (008,001) | Absolute x,y | (628,015) | Distance : 627.82
12:09:04.794392 | Relative x,y | (008,000) | Absolute x,y | (636,015) | Distance : 635.82
12:09:04.805086 | Relative x,y | (015,002) | Absolute x,y | (651,017) | Distance : 650.78
12:09:04.815791 | Relative x,y | (007,000) | Absolute x,y | (658,017) | Distance : 657.78
12:09:04.826445 | Relative x,y | (007,002) | Absolute x,y | (665,019) | Distance : 664.73
12:09:04.837047 | Relative x,y | (016,000) | Absolute x,y | (681,019) | Distance : 680.73
12:09:04.847734 | Relative x,y | (008,000) | Absolute x,y | (689,019) | Distance : 688.74
12:09:04.858432 | Relative x,y | (008,000) | Absolute x,y | (697,019) | Distance : 696.74
12:09:04.869196 | Relative x,y | (014,000) | Absolute x,y | (711,019) | Distance : 710.75
12:09:04.879900 | Relative x,y | (008,000) | Absolute x,y | (719,019) | Distance : 718.75
12:09:04.890567 | Relative x,y | (007,001) | Absolute x,y | (726,020) | Distance : 725.72
12:09:04.901335 | Relative x,y | (014,001) | Absolute x,y | (740,021) | Distance : 739.70
12:09:04.913530 | Relative x,y | (007,001) | Absolute x,y | (747,022) | Distance : 746.68
12:09:04.924102 | Relative x,y | (008,000) | Absolute x,y | (755,022) | Distance : 754.68
12:09:04.934848 | Relative x,y | (014,000) | Absolute x,y | (769,022) | Distance : 768.69
12:09:04.945395 | Relative x,y | (008,001) | Absolute x,y | (777,023) | Distance : 776.66
12:09:04.955922 | Relative x,y | (007,000) | Absolute x,y | (784,023) | Distance : 783.66
12:09:04.966436 | Relative x,y | (015,001) | Absolute x,y | (799,024) | Distance : 798.64
12:09:04.976945 | Relative x,y | (008,001) | Absolute x,y | (807,025) | Distance : 806.61
12:09:04.987455 | Relative x,y | (012,000) | Absolute x,y | (819,025) | Distance : 818.62
12:09:04.998036 | Relative x,y | (015,000) | Absolute x,y | (834,025) | Distance : 833.63
12:09:05.008732 | Relative x,y | (007,000) | Absolute x,y | (841,025) | Distance : 840.63
12:09:05.019438 | Relative x,y | (007,001) | Absolute x,y | (848,026) | Distance : 847.60
12:09:05.030145 | Relative x,y | (007,000) | Absolute x,y | (855,026) | Distance : 854.60
12:09:05.040880 | Relative x,y | (016,000) | Absolute x,y | (871,026) | Distance : 870.61
12:09:05.051551 | Relative x,y | (007,000) | Absolute x,y | (878,026) | Distance : 877.61
12:09:05.062231 | Relative x,y | (008,000) | Absolute x,y | (886,026) | Distance : 885.62
12:09:05.072940 | Relative x,y | (015,000) | Absolute x,y | (901,026) | Distance : 900.62
12:09:05.083605 | Relative x,y | (007,000) | Absolute x,y | (908,026) | Distance : 907.63
12:09:05.094311 | Relative x,y | (007,000) | Absolute x,y | (915,026) | Distance : 914.63
12:09:05.104995 | Relative x,y | (015,000) | Absolute x,y | (930,026) | Distance : 929.64
12:09:05.115723 | Relative x,y | (008,000) | Absolute x,y | (938,026) | Distance : 937.64
12:09:05.126477 | Relative x,y | (008,-01) | Absolute x,y | (946,025) | Distance : 945.67
12:09:05.137353 | Relative x,y | (015,000) | Absolute x,y | (961,025) | Distance : 960.67
12:09:05.148118 | Relative x,y | (008,-01) | Absolute x,y | (969,024) | Distance : 968.70
12:09:05.158851 | Relative x,y | (008,000) | Absolute x,y | (977,024) | Distance : 976.71
12:09:05.170948 | Relative x,y | (015,-01) | Absolute x,y | (992,023) | Distance : 991.73
12:09:05.181655 | Relative x,y | (008,000) | Absolute x,y | (1000,023) | Distance : 999.74
12:09:05.192433 | Relative x,y | (015,000) | Absolute x,y | (1015,023) | Distance : 1014.74
12:09:05.203125 | Relative x,y | (008,000) | Absolute x,y | (1023,023) | Distance : 1022.74
12:09:05.213823 | Relative x,y | (008,000) | Absolute x,y | (1031,023) | Distance : 1030.74
12:09:05.224554 | Relative x,y | (008,-01) | Absolute x,y | (1039,022) | Distance : 1038.77
12:09:05.235265 | Relative x,y | (015,-01) | Absolute x,y | (1054,021) | Distance : 1053.79
12:09:05.245990 | Relative x,y | (007,000) | Absolute x,y | (1061,021) | Distance : 1060.79
12:09:05.256721 | Relative x,y | (008,000) | Absolute x,y | (1069,021) | Distance : 1068.79
12:09:05.267433 | Relative x,y | (015,-01) | Absolute x,y | (1084,020) | Distance : 1083.82
12:09:05.278220 | Relative x,y | (008,000) | Absolute x,y | (1092,020) | Distance : 1091.82
12:09:05.288948 | Relative x,y | (008,-01) | Absolute x,y | (1100,019) | Distance : 1099.84
12:09:05.299673 | Relative x,y | (014,-01) | Absolute x,y | (1114,018) | Distance : 1113.85
12:09:05.311022 | Relative x,y | (007,000) | Absolute x,y | (1121,018) | Distance : 1120.86
12:09:05.321729 | Relative x,y | (006,000) | Absolute x,y | (1127,018) | Distance : 1126.86
12:09:05.332424 | Relative x,y | (014,001) | Absolute x,y | (1141,019) | Distance : 1140.84
12:09:05.343144 | Relative x,y | (008,000) | Absolute x,y | (1149,019) | Distance : 1148.84
12:09:05.353861 | Relative x,y | (007,000) | Absolute x,y | (1156,019) | Distance : 1155.84
12:09:05.364503 | Relative x,y | (015,000) | Absolute x,y | (1171,019) | Distance : 1170.85
12:09:05.375035 | Relative x,y | (007,000) | Absolute x,y | (1178,019) | Distance : 1177.85
12:09:05.385609 | Relative x,y | (008,-01) | Absolute x,y | (1186,018) | Distance : 1185.86
12:09:05.396296 | Relative x,y | (014,-01) | Absolute x,y | (1200,017) | Distance : 1199.88
12:09:05.407025 | Relative x,y | (008,000) | Absolute x,y | (1208,017) | Distance : 1207.88
12:09:05.417746 | Relative x,y | (007,000) | Absolute x,y | (1215,017) | Distance : 1214.88
12:09:05.428448 | Relative x,y | (016,-01) | Absolute x,y | (1231,016) | Distance : 1230.90
12:09:05.439157 | Relative x,y | (007,000) | Absolute x,y | (1238,016) | Distance : 1237.90
12:09:05.449782 | Relative x,y | (008,-01) | Absolute x,y | (1246,015) | Distance : 1245.91
12:09:05.460435 | Relative x,y | (015,000) | Absolute x,y | (1261,015) | Distance : 1260.91
12:09:05.471082 | Relative x,y | (007,000) | Absolute x,y | (1268,015) | Distance : 1267.91
12:09:05.481868 | Relative x,y | (008,000) | Absolute x,y | (1276,015) | Distance : 1275.91
12:09:05.492651 | Relative x,y | (007,000) | Absolute x,y | (1283,015) | Distance : 1282.91
12:09:05.503373 | Relative x,y | (016,000) | Absolute x,y | (1299,015) | Distance : 1298.91
12:09:05.514106 | Relative x,y | (007,000) | Absolute x,y | (1306,015) | Distance : 1305.91
12:09:05.524814 | Relative x,y | (008,000) | Absolute x,y | (1314,015) | Distance : 1313.91
12:09:05.535519 | Relative x,y | (015,001) | Absolute x,y | (1329,016) | Distance : 1328.90
12:09:05.546220 | Relative x,y | (008,001) | Absolute x,y | (1337,017) | Distance : 1336.89
12:09:05.557188 | Relative x,y | (007,000) | Absolute x,y | (1344,017) | Distance : 1343.89
12:09:05.569223 | Relative x,y | (016,001) | Absolute x,y | (1360,018) | Distance : 1359.88
12:09:05.579944 | Relative x,y | (007,001) | Absolute x,y | (1367,019) | Distance : 1366.87
12:09:05.590622 | Relative x,y | (015,000) | Absolute x,y | (1382,019) | Distance : 1381.87
12:09:05.601334 | Relative x,y | (007,000) | Absolute x,y | (1389,019) | Distance : 1388.87
12:09:05.612062 | Relative x,y | (008,001) | Absolute x,y | (1397,020) | Distance : 1396.86
12:09:05.622706 | Relative x,y | (007,000) | Absolute x,y | (1404,020) | Distance : 1403.86
12:09:05.633322 | Relative x,y | (015,001) | Absolute x,y | (1419,021) | Distance : 1418.84
12:09:05.643986 | Relative x,y | (008,000) | Absolute x,y | (1427,021) | Distance : 1426.85
12:09:05.654703 | Relative x,y | (008,000) | Absolute x,y | (1435,021) | Distance : 1434.85
12:09:05.665386 | Relative x,y | (015,002) | Absolute x,y | (1450,023) | Distance : 1449.82
12:09:05.676082 | Relative x,y | (007,000) | Absolute x,y | (1457,023) | Distance : 1456.82
12:09:05.686799 | Relative x,y | (008,001) | Absolute x,y | (1465,024) | Distance : 1464.80
12:09:05.697472 | Relative x,y | (014,001) | Absolute x,y | (1479,025) | Distance : 1478.79
12:09:05.708191 | Relative x,y | (008,000) | Absolute x,y | (1487,025) | Distance : 1486.79
12:09:05.719148 | Relative x,y | (007,000) | Absolute x,y | (1494,025) | Distance : 1493.79
12:09:05.729784 | Relative x,y | (016,001) | Absolute x,y | (1510,026) | Distance : 1509.78
12:09:05.740359 | Relative x,y | (008,000) | Absolute x,y | (1518,026) | Distance : 1517.78
12:09:05.751068 | Relative x,y | (007,000) | Absolute x,y | (1525,026) | Distance : 1524.78
12:09:05.761998 | Relative x,y | (015,002) | Absolute x,y | (1540,028) | Distance : 1539.75
12:09:05.772657 | Relative x,y | (008,000) | Absolute x,y | (1548,028) | Distance : 1547.75
12:09:05.783338 | Relative x,y | (008,000) | Absolute x,y | (1556,028) | Distance : 1555.75
12:09:05.794023 | Relative x,y | (015,000) | Absolute x,y | (1571,028) | Distance : 1570.75
