motion.py - Detect flow/motion in front of the PMW3901 sensor.

Press Ctrl+C to exit!

12:01:07.373038 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:01:07.479314 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:01:07.722449 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:01:07.827676 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:01:07.965587 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:01:08.071197 | Relative x,y | (000,000) | Absolute x,y | (000,000) | Distance : 0.00
12:01:08.092535 | Relative x,y | (000,-01) | Absolute x,y | (000,-01) | Distance : 1.00
12:01:08.103220 | Relative x,y | (000,-01) | Absolute x,y | (000,-02) | Distance : 2.00
12:01:08.113980 | Relative x,y | (000,-01) | Absolute x,y | (000,-03) | Distance : 3.00
12:01:08.124720 | Relative x,y | (000,-05) | Absolute x,y | (000,-08) | Distance : 8.00
12:01:08.135383 | Relative x,y | (000,-03) | Absolute x,y | (000,-11) | Distance : 11.00
12:01:08.145966 | Relative x,y | (000,-04) | Absolute x,y | (000,-15) | Distance : 15.00
12:01:08.156513 | Relative x,y | (000,-06) | Absolute x,y | (000,-21) | Distance : 21.00
12:01:08.167118 | Relative x,y | (000,-04) | Absolute x,y | (000,-25) | Distance : 25.00
12:01:08.177779 | Relative x,y | (000,-03) | Absolute x,y | (000,-28) | Distance : 28.00
12:01:08.188511 | Relative x,y | (000,-09) | Absolute x,y | (000,-37) | Distance : 37.00
12:01:08.199203 | Relative x,y | (000,-05) | Absolute x,y | (000,-42) | Distance : 42.00
12:01:08.209860 | Relative x,y | (000,-06) | Absolute x,y | (000,-48) | Distance : 48.00
12:01:08.220557 | Relative x,y | (000,-11) | Absolute x,y | (000,-59) | Distance : 59.00
12:01:08.231234 | Relative x,y | (000,-07) | Absolute x,y | (000,-66) | Distance : 66.00
12:01:08.241885 | Relative x,y | (000,-06) | Absolute x,y | (000,-72) | Distance : 72.00
12:01:08.252611 | Relative x,y | (000,-13) | Absolute x,y | (000,-85) | Distance : 85.00
12:01:08.263295 | Relative x,y | (000,-06) | Absolute x,y | (000,-91) | Distance : 91.00
12:01:08.273975 | Relative x,y | (000,-07) | Absolute x,y | (000,-98) | Distance : 98.00
12:01:08.284660 | Relative x,y | (000,-14) | Absolute x,y | (000,-112) | Distance : 112.00
12:01:08.295405 | Relative x,y | (000,-07) | Absolute x,y | (000,-119) | Distance : 119.00
12:01:08.306113 | Relative x,y | (000,-08) | Absolute x,y | (000,-127) | Distance : 127.00
12:01:08.316768 | Relative x,y | (000,-08) | Absolute x,y | (000,-135) | Distance : 135.00
12:01:08.327464 | Relative x,y | (000,-16) | Absolute x,y | (000,-151) | Distance : 151.00
12:01:08.338148 | Relative x,y | (000,-09) | Absolute x,y | (000,-160) | Distance : 160.00
12:01:08.348860 | Relative x,y | (-01,-08) | Absolute x,y | (-01,-168) | Distance : 168.00
12:01:08.359477 | Relative x,y | (000,-17) | Absolute x,y | (-01,-185) | Distance : 185.00
12:01:08.371633 | Relative x,y | (000,-08) | Absolute x,y | (-01,-193) | Distance : 193.00
12:01:08.382364 | Relative x,y | (000,-18) | Absolute x,y | (-01,-211) | Distance : 211.00
12:01:08.393063 | Relative x,y | (000,-09) | Absolute x,y | (-01,-220) | Distance : 220.00
12:01:08.403786 | Relative x,y | (000,-10) | Absolute x,y | (-01,-230) | Distance : 230.00
12:01:08.414482 | Relative x,y | (000,-09) | Absolute x,y | (-01,-239) | Distance : 239.00
12:01:08.425165 | Relative x,y | (000,-19) | Absolute x,y | (-01,-258) | Distance : 258.00
12:01:08.435875 | Relative x,y | (000,-10) | Absolute x,y | (-01,-268) | Distance : 268.00
12:01:08.446578 | Relative x,y | (000,-10) | Absolute x,y | (-01,-278) | Distance : 278.00
12:01:08.457267 | Relative x,y | (000,-20) | Absolute x,y | (-01,-298) | Distance : 298.00
12:01:08.467976 | Relative x,y | (000,-10) | Absolute x,y | (-01,-308) | Distance : 308.00
12:01:08.478685 | Relative x,y | (000,-11) | Absolute x,y | (-01,-319) | Distance : 319.00
12:01:08.489333 | Relative x,y | (000,-19) | Absolute x,y | (-01,-338) | Distance : 338.00
12:01:08.500030 | Relative x,y | (000,-11) | Absolute x,y | (-01,-349) | Distance : 349.00
12:01:08.510721 | Relative x,y | (000,-10) | Absolute x,y | (-01,-359) | Distance : 359.00
12:01:08.521407 | Relative x,y | (-01,-22) | Absolute x,y | (-02,-381) | Distance : 380.99
12:01:08.532088 | Relative x,y | (000,-10) | Absolute x,y | (-02,-391) | Distance : 390.99
12:01:08.542785 | Relative x,y | (000,-11) | Absolute x,y | (-02,-402) | Distance : 402.00
12:01:08.553493 | Relative x,y | (000,-19) | Absolute x,y | (-02,-421) | Distance : 421.00
12:01:08.564116 | Relative x,y | (000,-10) | Absolute x,y | (-02,-431) | Distance : 431.00
12:01:08.574738 | Relative x,y | (-01,-10) | Absolute x,y | (-03,-441) | Distance : 440.99
12:01:08.585452 | Relative x,y | (000,-21) | Absolute x,y | (-03,-462) | Distance : 461.99
12:01:08.596170 | Relative x,y | (000,-10) | Absolute x,y | (-03,-472) | Distance : 471.99
12:01:08.606833 | Relative x,y | (000,-11) | Absolute x,y | (-03,-483) | Distance : 482.99
12:01:08.617446 | Relative x,y | (000,-22) | Absolute x,y | (-03,-505) | Distance : 504.99
12:01:08.628099 | Relative x,y | (000,-10) | Absolute x,y | (-03,-515) | Distance : 514.99
12:01:08.638770 | Relative x,y | (000,-10) | Absolute x,y | (-03,-525) | Distance : 524.99
12:01:08.649388 | Relative x,y | (000,-11) | Absolute x,y | (-03,-536) | Distance : 535.99
12:01:08.659968 | Relative x,y | (000,-22) | Absolute x,y | (-03,-558) | Distance : 557.99
12:01:08.670519 | Relative x,y | (000,-11) | Absolute x,y | (-03,-569) | Distance : 568.99
12:01:08.681081 | Relative x,y | (000,-11) | Absolute x,y | (-03,-580) | Distance : 579.99
12:01:08.691760 | Relative x,y | (001,-22) | Absolute x,y | (-02,-602) | Distance : 602.00
12:01:08.703933 | Relative x,y | (000,-10) | Absolute x,y | (-02,-612) | Distance : 612.00
12:01:08.714776 | Relative x,y | (000,-10) | Absolute x,y | (-02,-622) | Distance : 622.00
12:01:08.725655 | Relative x,y | (001,-21) | Absolute x,y | (-01,-643) | Distance : 643.00
12:01:08.736229 | Relative x,y | (000,-11) | Absolute x,y | (-01,-654) | Distance : 654.00
12:01:08.746827 | Relative x,y | (000,-11) | Absolute x,y | (-01,-665) | Distance : 665.00
12:01:08.757501 | Relative x,y | (001,-21) | Absolute x,y | (000,-686) | Distance : 686.00
12:01:08.768216 | Relative x,y | (000,-11) | Absolute x,y | (000,-697) | Distance : 697.00
12:01:08.778909 | Relative x,y | (000,-10) | Absolute x,y | (000,-707) | Distance : 707.00
12:01:08.789520 | Relative x,y | (000,-19) | Absolute x,y | (000,-726) | Distance : 726.00
12:01:08.800142 | Relative x,y | (000,-11) | Absolute x,y | (000,-737) | Distance : 737.00
12:01:08.810798 | Relative x,y | (000,-10) | Absolute x,y | (000,-747) | Distance : 747.00
12:01:08.821469 | Relative x,y | (000,-22) | Absolute x,y | (000,-769) | Distance : 769.00
12:01:08.832268 | Relative x,y | (000,-10) | Absolute x,y | (000,-779) | Distance : 779.00
12:01:08.842974 | Relative x,y | (000,-11) | Absolute x,y | (000,-790) | Distance : 790.00
12:01:08.853645 | Relative x,y | (000,-20) | Absolute x,y | (000,-810) | Distance : 810.00
12:01:08.864319 | Relative x,y | (000,-10) | Absolute x,y | (000,-820) | Distance : 820.00
12:01:08.875036 | Relative x,y | (-01,-10) | Absolute x,y | (-01,-830) | Distance : 830.00
12:01:08.885691 | Relative x,y | (000,-21) | Absolute x,y | (-01,-851) | Distance : 851.00
12:01:08.896355 | Relative x,y | (000,-11) | Absolute x,y | (-01,-862) | Distance : 862.00
12:01:08.907040 | Relative x,y | (000,-10) | Absolute x,y | (-01,-872) | Distance : 872.00
12:01:08.917715 | Relative x,y | (000,-20) | Absolute x,y | (-01,-892) | Distance : 892.00
12:01:08.928316 | Relative x,y | (000,-10) | Absolute x,y | (-01,-902) | Distance : 902.00
12:01:08.938919 | Relative x,y | (000,-09) | Absolute x,y | (-01,-911) | Distance : 911.00
12:01:08.949625 | Relative x,y | (000,-10) | Absolute x,y | (-01,-921) | Distance : 921.00
12:01:08.960309 | Relative x,y | (000,-19) | Absolute x,y | (-01,-940) | Distance : 940.00
12:01:08.970955 | Relative x,y | (000,-11) | Absolute x,y | (-01,-951) | Distance : 951.00
12:01:08.981623 | Relative x,y | (000,-10) | Absolute x,y | (-01,-961) | Distance : 961.00
12:01:08.994149 | Relative x,y | (000,-19) | Absolute x,y | (-01,-980) | Distance : 980.00
12:01:09.004874 | Relative x,y | (000,-10) | Absolute x,y | (-01,-990) | Distance : 990.00
12:01:09.015585 | Relative x,y | (000,-19) | Absolute x,y | (-01,-1009) | Distance : 1009.00
12:01:09.026286 | Relative x,y | (000,-11) | Absolute x,y | (-01,-1020) | Distance : 1020.00
12:01:09.037010 | Relative x,y | (000,-10) | Absolute x,y | (-01,-1030) | Distance : 1030.00
12:01:09.047718 | Relative x,y | (000,-22) | Absolute x,y | (-01,-1052) | Distance : 1052.00
12:01:09.058422 | Relative x,y | (000,-10) | Absolute x,y | (-01,-1062) | Distance : 1062.00
12:01:09.069112 | Relative x,y | (000,-11) | Absolute x,y | (-01,-1073) | Distance : 1073.00
12:01:09.079796 | Relative x,y | (000,-09) | Absolute x,y | (-01,-1082) | Distance : 1082.00
12:01:09.090503 | Relative x,y | (000,-21) | Absolute x,y | (-01,-1103) | Distance : 1103.00
12:01:09.101193 | Relative x,y | (000,-10) | Absolute x,y | (-01,-1113) | Distance : 1113.00
12:01:09.111946 | Relative x,y | (000,-11) | Absolute x,y | (-01,-1124) | Distance : 1124.00
12:01:09.122675 | Relative x,y | (000,-21) | Absolute x,y | (-01,-1145) | Distance : 1145.00
12:01:09.133361 | Relative x,y | (000,-10) | Absolute x,y | (-01,-1155) | Distance : 1155.00
12:01:09.144076 | Relative x,y | (000,-11) | Absolute x,y | (-01,-1166) | Distance : 1166.00
12:01:09.154785 | Relative x,y | (000,-19) | Absolute x,y | (-01,-1185) | Distance : 1185.00
12:01:09.165488 | Relative x,y | (000,-11) | Absolute x,y | (-01,-1196) | Distance : 1196.00
12:01:09.176205 | Relative x,y | (000,-10) | Absolute x,y | (-01,-1206) | Distance : 1206.00
12:01:09.186957 | Relative x,y | (000,-21) | Absolute x,y | (-01,-1227) | Distance : 1227.00
